language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups,threshold,loan_class,thin_lang_note
Yakut,pointed,sɯtɯː,s ɯ t ɯː,northeuralex,-1.201,-1.201,False,False,False,4,4,-1.1851,unknown,
Yakut,sharp,sɯtɯː,s ɯ t ɯː,northeuralex,-1.201,-1.201,False,False,False,4,4,-1.1851,unknown,
Yakut,empty,icːitex,i cː i t e x,northeuralex,-1.1903,-1.1903,False,False,False,6,6,-1.1851,unknown,
Yakut,ripe,sipːit-xopːut,s i pː i t x o pː u t,northeuralex,-1.1931,-1.1931,False,False,False,10,10,-1.1851,unknown,
Yakut,delicious,miɲːiɡes,m i ɲː i g e s,northeuralex,-1.1872,-1.1872,False,False,False,7,7,-1.1851,unknown,
Yakut,sweet,miɲːiɡes,m i ɲː i g e s,northeuralex,-1.1872,-1.1872,False,False,False,7,7,-1.1851,unknown,
Yakut,white,yɾyŋ,y ɾ y ŋ,northeuralex,-1.2677,-1.2677,False,False,False,4,4,-1.1851,unknown,
Yakut,blue,ky͡øx,k yø x,northeuralex,-1.2072,-1.2072,False,False,False,3,3,-1.1851,unknown,
Yakut,green,ky͡øx,k yø x,northeuralex,-1.2072,-1.2072,False,False,False,3,3,-1.1851,unknown,
Yakut,fat,emis,e m i s,northeuralex,-1.1963,-1.1963,False,False,False,4,4,-1.1851,unknown,
Yakut,hungry,acːɯk,a cː ɯ k,northeuralex,-1.1946,-1.1946,False,False,False,4,4,-1.1851,unknown,
Yakut,good,yty͡ø,y t yø,northeuralex,-1.2993,-1.2993,False,False,False,3,3,-1.1851,unknown,
Yakut,good,ycyɡej,y c y g e j,northeuralex,-1.2061,-1.2061,False,False,False,6,6,-1.1851,unknown,
Yakut,correct,søp,s ø p,northeuralex,-1.2498,-1.2498,False,False,False,3,3,-1.1851,unknown,
Yakut,third,yhys,y h y s,northeuralex,-1.363,-1.363,False,False,False,4,4,-1.1851,unknown,
Yakut,there,onːo,o nː o,northeuralex,-1.3412,-1.3412,False,False,False,3,3,-1.1851,unknown,
Yakut,thither,onːo,o nː o,northeuralex,-1.3412,-1.3412,False,False,False,3,3,-1.1851,unknown,
Yakut,back,tøtːøɾy,t ø tː ø ɾ y,northeuralex,-1.2407,-1.2407,False,False,False,6,6,-1.1851,unknown,
Yakut,so,ocːo,o cː o,northeuralex,-1.484,-1.484,False,False,False,3,3,-1.1851,unknown,
Yakut,only,sɯcːax,s ɯ cː a x,northeuralex,-1.2389,-1.2389,False,False,False,5,5,-1.1851,unknown,
Yakut,three,ys,y s,northeuralex,-1.435,-1.435,False,False,False,2,2,-1.1851,unknown,
Yakut,lie,sɯt,s ɯ t,northeuralex,-1.1856,-1.1856,False,False,False,3,3,-1.1851,unknown,
Yakut,rise,oj,o j,northeuralex,-1.2015,-1.2015,False,False,False,2,2,-1.1851,unknown,
Yakut,blow,yɾ,y ɾ,northeuralex,-1.3099,-1.3099,False,False,False,2,2,-1.1851,unknown,
Yakut,flow,syːɾ,s yː ɾ,northeuralex,-1.2004,-1.2004,False,False,False,3,3,-1.1851,unknown,
Yakut,dry,kuːɾ,k uː ɾ,northeuralex,-1.1928,-1.1928,False,False,False,3,3,-1.1851,unknown,
Yakut,disappear,syt,s y t,northeuralex,-1.3245,-1.3245,False,False,False,3,3,-1.1851,unknown,
Yakut,rise,yɾdeː,y ɾ d eː,northeuralex,-1.2154,-1.2154,False,False,False,4,4,-1.1851,unknown,
Yakut,"sparkle, twinkle",kylymyɾdeː,k y l y m y ɾ d eː,northeuralex,-1.2208,-1.2208,False,False,False,9,9,-1.1851,unknown,
Yakut,chime,sobu͡onːaː,s o b uo nː aː,northeuralex,-1.1983,-1.1983,False,False,False,6,6,-1.1851,unknown,
Yakut,blow,yɾ,y ɾ,northeuralex,-1.3099,-1.3099,False,False,False,2,2,-1.1851,unknown,
Yakut,drink,is,i s,northeuralex,-1.2499,-1.2499,False,False,False,2,2,-1.1851,unknown,
Yakut,jump,oj,o j,northeuralex,-1.2015,-1.2015,False,False,False,2,2,-1.1851,unknown,
Yakut,wait,køhyt,k ø h y t,northeuralex,-1.207,-1.207,False,False,False,5,5,-1.1851,unknown,
Yakut,await,køhyt,k ø h y t,northeuralex,-1.207,-1.207,False,False,False,5,5,-1.1851,unknown,
Yakut,flee,kyɾeː,k y ɾ eː,northeuralex,-1.1895,-1.1895,False,False,False,4,4,-1.1851,unknown,
Yakut,escape,kyɾeː,k y ɾ eː,northeuralex,-1.1895,-1.1895,False,False,False,4,4,-1.1851,unknown,
Yakut,put,uːɾ,uː ɾ,northeuralex,-1.219,-1.219,False,False,False,2,2,-1.1851,unknown,
Yakut,place,uːɾ,uː ɾ,northeuralex,-1.219,-1.219,False,False,False,2,2,-1.1851,unknown,
Yakut,lay,uːɾ,uː ɾ,northeuralex,-1.219,-1.219,False,False,False,2,2,-1.1851,unknown,
Yakut,cover,byɾyj,b y ɾ y j,northeuralex,-1.2056,-1.2056,False,False,False,5,5,-1.1851,unknown,
Yakut,lose,syteɾ,s y t e ɾ,northeuralex,-1.2131,-1.2131,False,False,False,5,5,-1.1851,unknown,
Yakut,make,oŋoɾ,o ŋ o ɾ,northeuralex,-1.227,-1.227,False,False,False,4,4,-1.1851,unknown,
Yakut,produce,oŋoɾ,o ŋ o ɾ,northeuralex,-1.227,-1.227,False,False,False,4,4,-1.1851,unknown,
Yakut,bend,i͡ex,ie x,northeuralex,-1.2123,-1.2123,False,False,False,2,2,-1.1851,unknown,
Yakut,drag,sos,s o s,northeuralex,-1.3853,-1.3853,False,False,False,3,3,-1.1851,unknown,
Yakut,keep,uːɾ,uː ɾ,northeuralex,-1.219,-1.219,False,False,False,2,2,-1.1851,unknown,
Yakut,divide,ylːeɾ,y lː e ɾ,northeuralex,-1.2323,-1.2323,False,False,False,4,4,-1.1851,unknown,
Yakut,break,yltyɾyt,y l t y ɾ y t,northeuralex,-1.2144,-1.2144,False,False,False,7,7,-1.1851,unknown,
Yakut,burn,u͡otːaː,uo tː aː,northeuralex,-1.1997,-1.1997,False,False,False,3,3,-1.1851,unknown,
Yakut,cover,byɾyj,b y ɾ y j,northeuralex,-1.2056,-1.2056,False,False,False,5,5,-1.1851,unknown,
Yakut,unite,tym,t y m,northeuralex,-1.3055,-1.3055,False,False,False,3,3,-1.1851,unknown,
Yakut,meet,køɾys,k ø ɾ y s,northeuralex,-1.2673,-1.2673,False,False,False,5,5,-1.1851,unknown,
Yakut,assemble,myhyn,m y h y n,northeuralex,-1.2151,-1.2151,False,False,False,5,5,-1.1851,unknown,
Yakut,assemble,tymys,t y m y s,northeuralex,-1.3573,-1.3573,False,False,False,5,5,-1.1851,unknown,
Yakut,rescue,øɾyhyj,ø ɾ y h y j,northeuralex,-1.2321,-1.2321,False,False,False,6,6,-1.1851,unknown,
Yakut,protect,kømyskeː,k ø m y s k eː,northeuralex,-1.2383,-1.2383,False,False,False,7,7,-1.1851,unknown,
Yakut,defend,kømyskeː,k ø m y s k eː,northeuralex,-1.2383,-1.2383,False,False,False,7,7,-1.1851,unknown,
Yakut,brawl,oxsus,o x s u s,northeuralex,-1.2642,-1.2642,False,False,False,5,5,-1.1851,unknown,
Yakut,win,xot,x o t,northeuralex,-1.238,-1.238,False,False,False,3,3,-1.1851,unknown,
Yakut,shove,ytyɾyj,y t y ɾ y j,northeuralex,-1.285,-1.285,False,False,False,6,6,-1.1851,unknown,
Yakut,steal,u͡oɾ,uo ɾ,northeuralex,-1.2314,-1.2314,False,False,False,2,2,-1.1851,unknown,
Yakut,gather,mus,m u s,northeuralex,-1.2179,-1.2179,False,False,False,3,3,-1.1851,unknown,
Yakut,milk,ɯ͡a,ɯa,northeuralex,-1.1985,-1.1985,False,False,False,1,1,-1.1851,unknown,
Yakut,fry,soɾku͡ojdaː,s o ɾ k uo j d aː,northeuralex,-1.196,-1.196,False,False,False,8,8,-1.1851,unknown,
Yakut,wash,suːj,s uː j,northeuralex,-1.2233,-1.2233,False,False,False,3,3,-1.1851,unknown,
Yakut,wipe,sot,s o t,northeuralex,-1.2974,-1.2974,False,False,False,3,3,-1.1851,unknown,
Yakut,decorate,simeː,s i m eː,northeuralex,-1.202,-1.202,False,False,False,4,4,-1.1851,unknown,
Yakut,say,di͡e,d ie,northeuralex,-1.2397,-1.2397,False,False,False,2,2,-1.1851,unknown,
Yakut,request,køɾdøs,k ø ɾ d ø s,northeuralex,-1.2145,-1.2145,False,False,False,6,6,-1.1851,unknown,
