gloss,n_languages,all_languages,domain,language,form,ipa_tokens,group,adjusted_score,loan_class,thin_lang_flag
walk,3,Azerbaijani; Kazakh; Turkish,verbs_actions,Kazakh,ʒʊɾəs,ʒ ʊ ɾ ə s,A_kipchak,-1.1526,unknown,False
walk,3,Azerbaijani; Kazakh; Turkish,verbs_actions,Turkish,jyɾyjyʃ,j y ɾ y j y ʃ,A_oghuz,-0.9998,unknown,False
walk,3,Azerbaijani; Kazakh; Turkish,verbs_actions,Azerbaijani,jɛrɪʃ,j ɛ r ɪ ʃ,A_oghuz,-0.8735,unknown,False
ahead,2,Azerbaijani; Chuvash,body_parts,Azerbaijani,dyz,d y z,A_oghuz,-0.8902,unknown,False
ahead,2,Azerbaijani; Chuvash,body_parts,Chuvash,ˈtikɘs,t i k ɘ s,C_chuvash,-1.1934,unknown,False
and,2,Azerbaijani; Turkish,other,Turkish,vɛ,v ɛ,A_oghuz,-1.047,unknown,False
and,2,Azerbaijani; Turkish,other,Azerbaijani,væ,v æ,A_oghuz,-0.8759,unknown,False
arrow,2,Azerbaijani; Yakut,social_political,Azerbaijani,ɔχ,ɔ χ,A_oghuz,-1.1968,unknown,False
arrow,2,Azerbaijani; Yakut,social_political,Yakut,ox,o x,B_yakut,-1.3053,unknown,False
at that time,2,Azerbaijani; Yakut,spatial_temporal,Azerbaijani,ɔ_vɑχt,ɔ + v ɑ χ t,A_oghuz,-0.9364,unknown,False
at that time,2,Azerbaijani; Yakut,spatial_temporal,Yakut,ocːoɣo,o cː o ɣ o,B_yakut,-1.5291,mongolic_candidate,False
because of,2,Azerbaijani; Kazakh,other,Kazakh,ʊʃən,ʊ ʃ ə n,A_kipchak,-1.1033,unknown,False
because of,2,Azerbaijani; Kazakh,other,Azerbaijani,yt͡ʃyn,y tʃ y n,A_oghuz,-0.9896,unknown,False
blunt,2,Chuvash; Kazakh,other,Kazakh,doʁɑl,d o ʁ ɑ l,A_kipchak,-1.1005,unknown,False
blunt,2,Chuvash; Kazakh,other,Chuvash,ˈtɘrɘnt̬͡ɕɘk,t ɘ r ɘ n tɕ ɘ k,C_chuvash,-1.2088,unknown,False
boat,2,Chuvash; Yakut,material_culture,Yakut,oŋoco,o ŋ o c o,B_yakut,-1.295,unknown,False
boat,2,Chuvash; Yakut,material_culture,Chuvash,ˈkimɘ,k i m ɘ,C_chuvash,-1.2032,unknown,False
border,2,Azerbaijani; Chuvash,social_political,Azerbaijani,hydud,h y d u d,A_oghuz,-0.9368,unknown,False
border,2,Azerbaijani; Chuvash,social_political,Chuvash,ˈt͡ɕikɘ,tɕ i k ɘ,C_chuvash,-1.2859,unknown,False
boss,2,Azerbaijani; Turkish,social_political,Azerbaijani,ʃɛf,ʃ ɛ f,A_oghuz,-0.9605,unknown,False
boss,2,Azerbaijani; Turkish,social_political,Turkish,ʃɛf,ʃ ɛ f,A_oghuz,-0.875,unknown,False
broom,2,Azerbaijani; Kazakh,material_culture,Kazakh,səpəɾʁəʃ,s ə p ə ɾ ʁ ə ʃ,A_kipchak,-1.1579,unknown,False
broom,2,Azerbaijani; Kazakh,material_culture,Azerbaijani,sypyrɟæ,s y p y r ɟ æ,A_oghuz,-0.8771,unknown,False
cross,2,Azerbaijani; Turkish,other,Azerbaijani,χɑt͡ʃ,χ ɑ tʃ,A_oghuz,-1.006,unknown,False
cross,2,Azerbaijani; Turkish,other,Turkish,hat͡ʃ,h a tʃ,A_oghuz,-0.8949,unknown,False
"delicate, fine",2,Azerbaijani; Turkish,fauna,Azerbaijani,ɪnd͡ʒæ,ɪ n dʒ æ,A_oghuz,-0.8862,unknown,False
"delicate, fine",2,Azerbaijani; Turkish,fauna,Turkish,ind͡ʒɛ,i n dʒ ɛ,A_oghuz,-0.8754,unknown,False
dream,2,Kazakh; Turkish,body_parts,Kazakh,tʊs,t ʊ s,A_kipchak,-1.076,unknown,False
dream,2,Kazakh; Turkish,body_parts,Turkish,ɾyja,ɾ y j a,A_oghuz,-0.8723,unknown,False
end,2,Kazakh; Turkish,spatial_temporal,Kazakh,soŋə,s o ŋ ə,A_kipchak,-1.0961,unknown,False
end,2,Kazakh; Turkish,spatial_temporal,Turkish,ut͡ʃ,u tʃ,A_oghuz,-0.9963,unknown,False
face,2,Azerbaijani; Turkish,body_parts,Turkish,jyz,j y z,A_oghuz,-0.9326,unknown,False
face,2,Azerbaijani; Turkish,body_parts,Azerbaijani,yz,y z,A_oghuz,-0.8865,unknown,False
fat,2,Turkish; Yakut,food_drink,Turkish,jaː,j aː,A_oghuz,-0.9539,unknown,False
fat,2,Turkish; Yakut,food_drink,Yakut,sɯ͡a,s ɯa,B_yakut,-1.2829,unknown,False
first,2,Azerbaijani; Kazakh,flora,Kazakh,ɑlʁɑʃqə,ɑ l ʁ ɑ ʃ q ə,A_kipchak,-1.0893,unknown,False
first,2,Azerbaijani; Kazakh,flora,Azerbaijani,bɪrɪnd͡ʒɪ,b ɪ r ɪ n dʒ ɪ,A_oghuz,-0.8765,unknown,False
flesh,2,Chuvash; Uzbek,other,Uzbek,ɡoʃt,g o ʃ t,A_kipchak,-1.2322,unknown,False
flesh,2,Chuvash; Uzbek,other,Chuvash,aʂ,a ʂ,C_chuvash,-1.3926,unknown,False
fringe,2,Chuvash; Kazakh,material_culture,Kazakh,ʃetə,ʃ e t ə,A_kipchak,-1.0755,unknown,False
fringe,2,Chuvash; Kazakh,material_culture,Chuvash,ˈχɘrɘ,χ ɘ r ɘ,C_chuvash,-1.2137,unknown,False
he,2,Azerbaijani; Turkish,other,Turkish,o,o,A_oghuz,-1.1765,unknown,False
he,2,Azerbaijani; Turkish,other,Azerbaijani,ɔ,ɔ,A_oghuz,-1.1189,unknown,False
hill,2,Chuvash; Turkish,natural_world,Turkish,tɛpɛ,t ɛ p ɛ,A_oghuz,-0.9295,unknown,False
hill,2,Chuvash; Turkish,natural_world,Chuvash,tɘmɛsˈkɛ,t ɘ m ɛ s k ɛ,C_chuvash,-1.1938,unknown,False
home,2,Azerbaijani; Turkish,material_culture,Azerbaijani,ɛv,ɛ v,A_oghuz,-1.1129,unknown,False
home,2,Azerbaijani; Turkish,material_culture,Turkish,ɛv,ɛ v,A_oghuz,-1.047,unknown,False
house,2,Azerbaijani; Turkish,material_culture,Azerbaijani,ɛv,ɛ v,A_oghuz,-1.1129,unknown,False
house,2,Azerbaijani; Turkish,material_culture,Turkish,ɛv,ɛ v,A_oghuz,-1.047,unknown,False
hungry,2,Azerbaijani; Kazakh,other,Kazakh,ɑʃ,ɑ ʃ,A_kipchak,-1.1336,unknown,False
hungry,2,Azerbaijani; Kazakh,other,Azerbaijani,ɑd͡ʒ,ɑ dʒ,A_oghuz,-0.9511,unknown,False
mirror,2,Azerbaijani; Chuvash,material_culture,Azerbaijani,ɟyzɟy,ɟ y z ɟ y,A_oghuz,-0.9704,unknown,False
mirror,2,Azerbaijani; Chuvash,material_culture,Chuvash,ˈtɘkɘr,t ɘ k ɘ r,C_chuvash,-1.1952,unknown,False
nail,2,Kazakh; Turkish,body_parts,Kazakh,ʃeɡe,ʃ e g e,A_kipchak,-1.1389,unknown,False
nail,2,Kazakh; Turkish,body_parts,Turkish,t͡ʃivi,tʃ i v i,A_oghuz,-0.9117,unknown,False
odour,2,Kazakh; Uzbek,body_parts,Uzbek,d͡ʒid,dʒ i d,A_kipchak,-1.1274,unknown,False
odour,2,Kazakh; Uzbek,body_parts,Kazakh,ɪjəs,ɪ j ə s,A_kipchak,-1.0751,unknown,False
