language,gloss,form,ipa_tokens,cogid,is_loan,reason
Uzbek,look for,izlamɒq,i z l a m ɒ q,,False,
Uzbek,find,tɒpmɒq,t ɒ p m ɒ q,,False,
Uzbek,try,t͡ʃaliʃmɒq,tʃ a l i ʃ m ɒ q,,False,
Uzbek,prepare,hɒzirlamɒq,h ɒ z i r l a m ɒ q,,True,phon_strong:ar_pe_h
Uzbek,love,sɛwmɒq,s ɛ w m ɒ q,,False,
Uzbek,like,ardɒqlamɒq,a r d ɒ q l a m ɒ q,,False,
Uzbek,laugh,kulmɒq,k u l m ɒ q,,False,
Uzbek,move,taʔsirlantirmɒq,t a ʔ s i r l a n t i r m ɒ q,,True,phon_strong:ar_glottal
Uzbek,"weep, cry",jiɣlamɒq,j i ɣ l a m ɒ q,,False,
Uzbek,grumble,kɒjinmɒq,k ɒ j i n m ɒ q,,False,
Uzbek,be annoyed,ɣazab_qilmɒq,ɣ a z a b + q i l m ɒ q,,False,
Uzbek,be afraid,hurkmɒq,h u r k m ɒ q,,True,phon_strong:ar_pe_h
Uzbek,be afraid of,qorqmɒq,q o r q m ɒ q,,False,
Uzbek,flee,qɒt͡ʃmɒq,q ɒ tʃ m ɒ q,,False,
Uzbek,escape,qɒt͡ʃmɒq,q ɒ tʃ m ɒ q,,False,
Uzbek,see,kormɒq,k o r m ɒ q,,False,
Uzbek,look at,razm_sɒlmɒq,r a z m + s ɒ l m ɒ q,,False,
Uzbek,watch,razm_qilmɒq,r a z m + q i l m ɒ q,,False,
Uzbek,hear,æʃitmɒq,æ ʃ i t m ɒ q,,False,
Uzbek,listen,tiŋlamɒq,t i ŋ l a m ɒ q,,False,
Uzbek,taste,tatib_kormɒq,t a t i b + k o r m ɒ q,,False,
Uzbek,smell,iskamɒq,i s k a m ɒ q,,False,
Uzbek,feel,sɛzmɒq,s ɛ z m ɒ q,,False,
Uzbek,seem,tujilmɒq,t u j i l m ɒ q,,False,
Uzbek,show,korinmɒq,k o r i n m ɒ q,,False,
Uzbek,hear,æʃitmɒq,æ ʃ i t m ɒ q,,False,
Uzbek,be cold,sɒwuq_qɒtmɒq,s ɒ w u q + q ɒ t m ɒ q,,False,
Uzbek,do,ætmɒq,æ t m ɒ q,,False,
Uzbek,can,a_ɒlmɒq,a + ɒ l m ɒ q,,False,
Uzbek,can,j_ɒlmɒq,j + ɒ l m ɒ q,,False,
Uzbek,want,istamɒq,i s t a m ɒ q,,False,
Uzbek,start,bɒʃlamɒq,b ɒ ʃ l a m ɒ q,,False,
Uzbek,finish,bitirmɒq,b i t i r m ɒ q,,False,
Uzbek,stop,tinmɒq,t i n m ɒ q,,False,
Uzbek,succeed,muwafːaqijat_qɒzɒnmɒq,m u w a fː a q i j a t + q ɒ z ɒ n m ɒ q,,False,
