ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
4045	Kazakh	wealth	b ɑ q d æ u l e t	bɑqdæulet	1 7 1 1 7 7 5 7 1	AXMBYYBYN	PAKTEYLET	3	3.P.C 3.A.V 3.K.c 3.T.C 3.E.V 3.Y.V 3.L.C 3.E.V 3.T.c	2.0 1.5 1.1 1.75 1.3 1.3 1.75 1.3 0.8	0	1438
5257	Chuvash	wealth	m u l	mul	4 7 5	AXN	MYL	2	2.M.C 2.Y.V 2.L.c	2.0 1.5 0.8	0	1438
6346	Yakut	wealth	b aː j	baːj	1 7 6	AXN	PAJ	9	9.P.C 9.A.V 9.J.c	2.0 1.5 0.8	0	1438
426	Turkish	weather	h a v a	hava	3 7 3 7	AXBZ	HABA	5	5.H.C 5.A.V 5.B.C 5.A.V	2.0 1.5 1.75 0.8	1	1439
1599	Azerbaijani	weather	h ɑ v ɑ	hɑvɑ	3 7 3 7	AXBZ	HABA	1	1.H.C 1.A.V 1.B.C 1.A.V	2.0 1.5 1.75 0.8	1	1439
2650	Uzbek	weather	h a w ɒ	hawɒ	3 7 6 7	AXBZ	HAWO	8	8.H.C 8.A.V 8.W.C 8.O.V	2.0 1.5 1.75 0.8	1	1439
3616	Kazakh	weather	ɑ u ɑ + ɾ ɑ j ə	ɑuɑ_ɾɑjə	7 7 7 9 5 7 6 7	XYZ_AXBZ	AYA_RAJE	3	3.A.V 3.Y.V 3.A.V 3._._ 3.R.C 3.A.V 3.J.C 3.E.V	1.5 1.3 0.8 0.0 2.0 1.5 1.75 0.8	0	1439
4851	Chuvash	weather	ɕ a n t a l ə k	ɕanˈt̬alək	3 7 4 1 7 5 7 1	AXMBYBYN	SANTALEK	2	2.S.C 2.A.V 2.N.c 2.T.C 2.A.V 2.L.C 2.E.V 2.K.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	0	1439
5979	Yakut	weather	k y n ɟ ɯ l	kyn-ɟɯl	1 7 4 1 7 5	AXMBYN	KYNCIL	9	9.K.C 9.Y.V 9.N.c 9.C.C 9.I.V 9.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	1439
890	Turkish	week	h a f t a	hafta	3 7 3 1 7	AXMBZ	HABTA	5	5.H.C 5.A.V 5.B.c 5.T.C 5.A.V	2.0 1.5 1.1 1.75 0.8	0	1440
2018	Azerbaijani	week	h æ f t æ	hæftæ	3 7 3 1 7	AXMBZ	HEBTE	1	1.H.C 1.E.V 1.B.c 1.T.C 1.E.V	2.0 1.5 1.1 1.75 0.8	0	1440
3024	Uzbek	week	h a f t a	hafta	3 7 3 1 7	AXMBZ	HABTA	8	8.H.C 8.A.V 8.B.c 8.T.C 8.A.V	2.0 1.5 1.1 1.75 0.8	0	1440
4084	Kazakh	week	ɑ p t ɑ	ɑptɑ	7 1 1 7	XMBZ	APTA	3	3.A.V 3.P.c 3.T.C 3.A.V	1.5 1.1 1.75 0.8	0	1440
5288	Chuvash	week	e r n ɛ	erˈnɛ	7 5 4 7	XMBZ	ERNE	2	2.E.V 2.R.c 2.N.C 2.E.V	1.5 1.1 1.75 0.8	0	1440
6373	Yakut	week	n e d ie l e	nedi͡ele	4 7 1 7 5 7	AXBYBZ	NETILE	9	9.N.C 9.E.V 9.T.C 9.I.V 9.L.C 9.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	1440
1254	Turkish	weep, cry	aː l a m a k	aːlamak	7 5 7 4 7 1	XBYBYN	ALAMAK	5	5.A.V 5.L.C 5.A.V 5.M.C 5.A.V 5.K.c	1.5 1.75 1.3 1.75 1.3 0.8	0	1441
2344	Azerbaijani	weep, cry	ɑ ɣ l ɑ m ɑ g	ɑɣlɑmɑɡ	7 3 5 7 4 7 1	XBCYBYN	AGLAMAK	1	1.A.V 1.G.C 1.L.C 1.A.V 1.M.C 1.A.V 1.K.c	1.5 1.75 1.5 1.3 1.75 1.3 0.8	0	1441
