language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag,domain
Kazakh,forward,əlɡeɾə,ə l g e ɾ ə,A_kipchak,northeuralex,-1.1151,-1.1151,True,True,unknown,False,social_political
Kazakh,east,kʊnʃəʁəs,k ʊ n ʃ ə ʁ ə s,A_kipchak,northeuralex,-1.1144,-1.1144,True,True,unknown,False,spatial_temporal
Kazakh,height,ʒoʁɑɾələq,ʒ o ʁ ɑ ɾ ə l ə q,A_kipchak,northeuralex,-1.1131,-1.1131,True,True,unknown,False,spatial_temporal
Kazakh,often,əlʁɪj,ə l ʁ ɪ j,A_kipchak,northeuralex,-1.1098,-1.1098,True,True,unknown,False,other
Kazakh,dishes,ədəs,ə d ə s,A_kipchak,northeuralex,-1.1078,-1.1078,True,True,unknown,False,food_drink
Kazakh,run,ʒʊɡəɾu,ʒ ʊ g ə ɾ u,A_kipchak,northeuralex,-1.1061,-1.1061,True,True,unknown,False,verbs_actions
Uzbek,all,jiqil,j i q i l,A_kipchak,lexstat,-1.1056,-1.1056,True,True,unknown,False,cognitive_abstract
Kazakh,far,ɑləstɑʁə,ɑ l ə s t ɑ ʁ ə,A_kipchak,northeuralex,-1.1046,-1.1046,True,True,unknown,False,other
Kazakh,because of,ʊʃən,ʊ ʃ ə n,A_kipchak,northeuralex,-1.1033,-1.1033,True,True,unknown,False,other
Uzbek,leaf,barɡ,b a r g,A_kipchak,lexstat,-1.1017,-1.1017,True,True,unknown,False,flora
Kazakh,blunt,doʁɑl,d o ʁ ɑ l,A_kipchak,northeuralex,-1.1005,-1.1005,True,True,unknown,False,other
Kazakh,year,ʒəl,ʒ ə l,A_kipchak,northeuralex,-1.0978,-1.0978,True,True,unknown,False,body_parts
Kazakh,current,ɑʁən,ɑ ʁ ə n,A_kipchak,northeuralex,-1.0974,-1.0974,True,True,unknown,False,natural_world
Uzbek,tip,ut͡ʃ,u tʃ,A_kipchak,northeuralex,-1.0962,-1.0962,True,True,unknown,False,spatial_temporal
Uzbek,three,ut͡ʃ,u tʃ,A_kipchak,northeuralex,-1.0962,-1.0962,True,True,unknown,False,other
Kazakh,end,soŋə,s o ŋ ə,A_kipchak,northeuralex,-1.0961,-1.0961,True,True,unknown,False,spatial_temporal
Kazakh,tear,ʒɑs,ʒ ɑ s,A_kipchak,northeuralex,-1.0959,-1.0959,True,True,unknown,False,body_parts
Kazakh,age,ʒɑs,ʒ ɑ s,A_kipchak,northeuralex,-1.0959,-1.0959,True,True,unknown,False,spatial_temporal
