ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
282	Kyrgyz	tail	q u j r u q	qujruq	1 7 6 5 7 1	AXMBYN	KYJRYK	4	4.K.C 4.Y.V 4.J.c 4.R.C 4.Y.V 4.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	204
283	Turkish	tail	k u j r u k	kujruk	1 7 6 5 7 1	AXMBYN	KYJRYK	5	5.K.C 5.Y.V 5.J.c 5.R.C 5.Y.V 5.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	202
284	Turkmen	tail	ɢ u j r u q	ɢujruq	1 7 6 5 7 1	AXMBYN	KYJRYK	6	6.K.C 6.Y.V 6.J.c 6.R.C 6.Y.V 6.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	207
285	Uyghur	tail	q u j r u q	qujruq	1 7 6 5 7 1	AXMBYN	KYJRYK	7	7.K.C 7.Y.V 7.J.c 7.R.C 7.Y.V 7.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	204
286	Yakut	tail	k u t u r u k	kuturuk	1 7 1 7 5 7 1	AXBYBYN	KYTYRYK	9	9.K.C 9.Y.V 9.T.C 9.Y.V 9.R.C 9.Y.V 9.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	210
342	Uzbek	tail	q u j r u q	qujruq	1 7 6 5 7 1	AXMBYN	KYJRYK	8	8.K.C 8.Y.V 8.J.c 8.R.C 8.Y.V 8.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	209
28	Azerbaijani	that	d a	dA	1 7	AX	TA	1	1.T.C 1.A.V	2.0 1.5	0	211
29	Chuvash	that	r a	rA, dA, tA	5 7	AX	RA	2	2.R.C 2.A.V	2.0 1.5	0	212
30	Kyrgyz	that	d a	dA, tA	1 7	AX	TA	4	4.T.C 4.A.V	2.0 1.5	0	211
31	Turkish	that	t a	tA, dA	1 7	AX	TA	5	5.T.C 5.A.V	2.0 1.5	0	211
32	Turkmen	that	d a	dA	1 7	AX	TA	6	6.T.C 6.A.V	2.0 1.5	0	211
33	Uyghur	that	d a	dA, tA	1 7	AX	TA	7	7.T.C 7.A.V	2.0 1.5	0	211
34	Yakut	that	ɣ a	ɣa	3 7	AX	GA	9	9.G.C 9.A.V	2.0 1.5	0	218
287	Uzbek	that	o	o(ʃa)	7	X	U	8	8.U.V	1.5	0	218
288	Kazakh	that	a n a w	ana(w)	7 4 7 6	XBYN	ANAW	3	3.A.V 3.N.C 3.A.V 3.W.c	1.5 1.75 1.3 0.8	0	213
289	Azerbaijani	this	b u	bu	1 7	AX	PY	1	1.P.C 1.Y.V	2.0 1.5	0	219
290	Kazakh	this	b u l	bŭl	1 7 5	AXN	PYL	3	3.P.C 3.Y.V 3.L.c	2.0 1.5 0.8	0	219
291	Kyrgyz	this	b u	bu	1 7	AX	PY	4	4.P.C 4.Y.V	2.0 1.5	0	219
292	Turkish	this	b u	bu	1 7	AX	PY	5	5.P.C 5.Y.V	2.0 1.5	0	219
293	Turkmen	this	b u	bu	1 7	AX	PY	6	6.P.C 6.Y.V	2.0 1.5	0	219
294	Uyghur	this	b u	bu	1 7	AX	PY	7	7.P.C 7.Y.V	2.0 1.5	0	219
295	Uzbek	this	b u	bu	1 7	AX	PY	8	8.P.C 8.Y.V	2.0 1.5	0	219
296	Yakut	this	b u	bu	1 7	AX	PY	9	9.P.C 9.Y.V	2.0 1.5	0	219
297	Chuvash	this	k u	ku	1 7	AX	KY	2	2.K.C 2.Y.V	2.0 1.5	0	220
298	Azerbaijani	tree	a ɣ a ʥ	aɣaǰ	7 3 7 2	XBYN	AGAC	1	1.A.V 1.G.C 1.A.V 1.C.c	1.5 1.75 1.3 0.8	0	221
299	Chuvash	tree	j ɯ v ə ɕ	jɯvə̈ɕ	6 7 3 7 3	AXBYN	JIBES	2	2.J.C 2.I.V 2.B.C 2.E.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	222
300	Kazakh	tree	a ɣ a ʃ	aɣaʃ	7 3 7 3	XBYN	AGAS	3	3.A.V 3.G.C 3.A.V 3.S.c	1.5 1.75 1.3 0.8	0	223
