language,gloss,form,ipa_tokens,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,thin_lang_flag,n_tokens,n_lookups
Uzbek,blood,qɔn,q ɔ n,savelyev,-0.4363,-0.4363,False,False,False,3,3
Yakut,blood,χa:n,χ aː n,savelyev,-0.8714,-0.8714,False,False,False,3,3
Azerbaijani,bone,symyk,s y m y k,savelyev,-0.6456,-0.6456,False,False,False,5,5
Chuvash,bone,ʃömö,ʃ ŏ m ŏ,savelyev,-0.4537,-0.4537,False,False,False,4,4
Kazakh,bone,syjek,s y j e k,savelyev,-0.8195,-0.8195,False,False,False,5,5
Kyrgyz,bone,søøk,s øː k,savelyev,-0.1895,-0.1895,False,False,True,3,3
Turkmen,bone,syŋk,s y ŋ k,savelyev,-1.5433,-1.5433,False,False,True,4,4
Uyghur,bone,"søŋɛk, syŋɛk, syjɛk",s ø ŋ ɛ k,savelyev,-0.0988,-0.0988,False,False,True,5,5
Uzbek,bone,sujak,s u j a k,savelyev,-0.8671,-0.8671,False,False,False,5,5
Yakut,bone,uŋuoχ,u ŋ u o χ,savelyev,-1.0609,-1.0609,False,False,False,5,5
Turkish,bone,kemik,k e m i k,savelyev,-0.3593,-0.3593,False,False,False,5,5
Azerbaijani,dog,it,i t,savelyev,-0.5466,-0.5466,False,False,False,2,2
Chuvash,dog,jɯdə̈,j ɯ d ə,savelyev,-0.7154,-0.7154,False,False,False,4,4
Kazakh,dog,it,i t,savelyev,-0.4777,-0.4777,False,False,False,2,2
Kyrgyz,dog,it,i t,savelyev,-0.3449,-0.3449,False,False,True,2,2
Turkmen,dog,it,i t,savelyev,-0.2373,-0.2373,False,False,True,2,2
Uyghur,dog,iʃt,i ʃ t,savelyev,-0.3204,-0.3204,False,False,True,3,3
Uzbek,dog,it,i t,savelyev,-0.8136,-0.8136,False,False,False,2,2
Yakut,dog,ɯt,ɯ t,savelyev,-1.0947,-1.0947,False,False,False,2,2
Turkish,dog,køpek,k ø p e k,savelyev,-0.4118,-0.4118,False,False,False,5,5
Azerbaijani,ear,ɢulaɢ,ɢ u l a ɢ,savelyev,-0.3217,-0.3217,False,False,False,5,5
Chuvash,ear,χölɣa,χ ŏ l ɣ a,savelyev,-0.624,-0.624,False,False,False,5,5
Kazakh,ear,qulaq,q u l a q,savelyev,-0.6393,-0.6393,False,False,False,5,5
Kyrgyz,ear,qulaq,q u l a q,savelyev,-0.2064,-0.2064,False,False,True,5,5
Turkish,ear,kulak,k u l a k,savelyev,-0.3867,-0.3867,False,False,False,5,5
Turkmen,ear,ɢulaq,ɢ u l a q,savelyev,-0.1167,-0.1167,False,False,True,5,5
Uyghur,ear,qulaq,q u l a q,savelyev,-0.2112,-0.2112,False,False,True,5,5
Uzbek,ear,qulɔq,q u l ɔ q,savelyev,-0.5741,-0.5741,False,False,False,5,5
Yakut,ear,kulga:χ,k u l g aː χ,savelyev,-0.9551,-0.9551,False,False,False,6,6
Yakut,feather,aha:,a h aː,savelyev,-0.9908,-0.9908,False,False,False,3,3
Azerbaijani,feather,je,j e,savelyev,-0.4554,-0.4554,False,False,False,2,2
Chuvash,feather,ɕi,ɕ i,savelyev,-1.1734,-1.1734,False,False,False,2,2
Kazakh,feather,ʒe,ʒ e,lexstat,-1.1027,-1.4027,True,False,False,2,2
Kyrgyz,feather,ʥe,ʥ e,lexstat,-0.503,-0.803,True,False,True,2,2
Turkish,feather,je,j e,savelyev,-0.8221,-0.8221,False,False,False,2,2
Turkmen,feather,ij,i j,savelyev,-0.3599,-0.3599,False,False,True,2,2
Uyghur,feather,ji,j i,lexstat,-0.2449,-0.5449,True,False,True,2,2
