language,gloss,form,ipa_tokens,cogid,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,n_tokens,n_lookups
Chuvash,two,"ikkɘ, igɘ, ik",i k ĭ,348,savelyev,-0.2866,-0.2866,False,False,3,3
Kazakh,two,ekɘ,e k ĭ,348,savelyev,-0.3878,-0.3878,False,False,3,3
Kyrgyz,two,eki,e k i,348,savelyev,-0.4354,-0.4354,False,False,3,3
Turkish,two,iki,i k i,348,savelyev,-0.1365,-0.1365,False,False,3,3
Turkmen,two,iki,i k i,348,savelyev,-0.2078,-0.2078,False,False,3,3
Uyghur,two,ikki,i kː i,348,savelyev,-0.1829,-0.1829,False,False,3,3
Uzbek,two,ikki,i kː i,348,savelyev,-0.3334,-0.3334,False,False,3,3
Yakut,two,ikki,i kː i,348,savelyev,-0.396,-0.396,False,False,3,3
Azerbaijani,what,nɛ,n æ,129,savelyev,-0.0687,-0.0687,False,False,2,2
Chuvash,what,mɘn,m ĭ n,129,savelyev,-0.0338,-0.0338,False,False,3,3
Kazakh,what,ne,n e,129,savelyev,-0.2795,-0.2795,False,False,2,2
Kyrgyz,what,emne,e m n e,129,savelyev,-0.2829,-0.2829,False,False,4,4
Turkish,what,ne,n e,129,savelyev,-0.1733,-0.1733,False,False,2,2
Turkmen,what,nɛme,n æ m e,129,savelyev,-0.1391,-0.1391,False,False,4,4
Uyghur,what,nimɛ,n i m æ,129,savelyev,-0.2204,-0.2204,False,False,4,4
Uzbek,what,nima,n i m a,129,savelyev,-0.181,-0.181,False,False,4,4
Yakut,what,tuoχ,t u o χ,129,savelyev,-1.5825,-1.5825,False,False,4,4
Azerbaijani,who,kim,k i m,81,savelyev,-0.1088,-0.1088,False,False,3,3
Chuvash,who,kam,k a m,81,savelyev,-0.2734,-0.2734,False,False,3,3
Kazakh,who,kɘm,k ĭ m,81,savelyev,-0.2015,-0.2015,False,False,3,3
Kyrgyz,who,kim,k i m,81,savelyev,-0.2633,-0.2633,False,False,3,3
Turkish,who,kim,k i m,81,savelyev,-0.0682,-0.0682,False,False,3,3
Turkmen,who,kim,k i m,81,savelyev,-0.1809,-0.1809,False,False,3,3
Uyghur,who,kim,k i m,81,savelyev,-0.2043,-0.2043,False,False,3,3
