language,gloss,form,ipa_tokens,cogid,cogid_source,raw_score,adjusted_score,lexstat_penalized,yakut_artifact_flag,n_tokens,n_lookups
Azerbaijani,horn,bujnuz,b u j n u z,95,savelyev,-0.1114,-0.1114,False,False,6,6
Chuvash,horn,möjraga,m ŏ j r a g a,95,savelyev,-0.1553,-0.1553,False,False,7,7
Kazakh,horn,myjɘz,m y j ĭ z,95,savelyev,-1.2767,-1.2767,False,False,5,5
Kyrgyz,horn,myjyz,m y j y z,95,savelyev,-2.4405,-2.4405,False,False,5,5
Turkish,horn,bojnuz,b o j n u z,95,savelyev,-0.0875,-0.0875,False,False,6,6
Uyghur,horn,? myŋgyz,m y ŋ g y z,95,savelyev,-3.0204,-3.0204,False,False,6,6
Yakut,horn,muos,m u o s,95,savelyev,-3.1325,-3.1325,False,False,4,4
Azerbaijani,leaf,jarpaɢ,j a r p a ɢ,169,savelyev,-0.1322,-0.1322,False,False,6,6
Kazakh,leaf,ʒapɯraq,ʒ a p ɯ r a q,169,savelyev,-0.1558,-0.1558,False,False,7,7
Kyrgyz,leaf,ʥalbɯraq,ʥ a l b ɯ r a q,169,savelyev,-0.1314,-0.1314,False,False,8,8
Turkish,leaf,japrak,j a p r a k,169,savelyev,-0.091,-0.091,False,False,6,6
Turkmen,leaf,japraq,j a p r a q,169,savelyev,-0.0627,-0.0627,False,False,6,6
Uyghur,leaf,jopurmaq,j o p u r m a q,169,savelyev,-0.0275,-0.0275,False,False,8,8
Yakut,leaf,sebirdeχ,s e b i r d e χ,169,savelyev,-0.9943,-0.9943,False,False,8,8
Chuvash,leaf,ɕulʑə̈,ɕ u l ʑ ə,171,savelyev,-1.3486,-1.3486,False,False,5,5
Azerbaijani,long,uzun,u z u n,217,savelyev,-0.1019,-0.1019,False,False,4,4
Chuvash,long,vöröm,v ŏ r ŏ m,217,savelyev,-1.2897,-1.2897,False,False,5,5
Kazakh,long,ŭzɯn,u z ɯ n,217,savelyev,-0.1107,-0.1107,False,False,4,4
Kyrgyz,long,uzun,u z u n,217,savelyev,-0.0789,-0.0789,False,False,4,4
Turkish,long,uzun,u z u n,217,savelyev,-0.1705,-0.1705,False,False,4,4
Turkmen,long,uzɯn,u z ɯ n,217,savelyev,-0.1006,-0.1006,False,False,4,4
Uyghur,long,uzun,u z u n,217,savelyev,-0.1057,-0.1057,False,False,4,4
Uzbek,long,uzun,u z u n,217,savelyev,-0.0489,-0.0489,False,False,4,4
Yakut,long,uhun,u h u n,217,savelyev,-0.2635,-0.2635,False,False,4,4
Azerbaijani,louse,bit,b i t,34,savelyev,-0.1497,-0.1497,False,False,3,3
Chuvash,louse,pɯjdə̈,p ɯ j d ə,34,savelyev,-0.0198,-0.0198,False,False,5,5
Kazakh,louse,bit,b i t,34,savelyev,-0.0927,-0.0927,False,False,3,3
Kyrgyz,louse,bit,b i t,34,savelyev,-0.2011,-0.2011,False,False,3,3
Turkish,louse,bit,b i t,34,savelyev,-0.205,-0.205,False,False,3,3
Turkmen,louse,bit,b i t,34,savelyev,-0.1447,-0.1447,False,False,3,3
Uyghur,louse,"pit, (piʃt)",p i t,34,savelyev,-0.207,-0.207,False,False,3,3
Uzbek,louse,bit,b i t,34,savelyev,-0.2871,-0.2871,False,False,3,3
Yakut,louse,bɯt,b ɯ t,34,savelyev,-0.1172,-0.1172,False,False,3,3
Kazakh,man,erkek,e r k e k,335,savelyev,-0.3945,-0.3945,False,False,5,5
Kyrgyz,man,erkek (kiʃi),e r k e k k i ʃ i,335,savelyev,-0.3832,-0.3832,False,False,9,9
Turkish,man,erkek,e r k e k,335,savelyev,-0.1386,-0.1386,False,False,5,5
Turkmen,man,erkek (adam),e r k e k a d a m,335,savelyev,-0.1454,-0.1454,False,False,9,9
Uyghur,man,ɛrkɛk,æ r k æ k,335,savelyev,-0.3551,-0.3551,False,False,5,5
Uzbek,man,erkak (kiʃi),e r k a k k i ʃ i,335,savelyev,-0.3418,-0.3418,False,False,9,9
Chuvash,man,arʑɯn,a r ʑ ɯ n,336,savelyev,-0.1329,-0.1329,False,False,5,5
Yakut,man,er kihi,e r k i h i,336,savelyev,-0.4097,-0.4097,False,False,6,6
Azerbaijani,man,kiʃi,k i ʃ i,337,savelyev,-0.1632,-0.1632,False,False,4,4
Kazakh,many,køp,k ø p,521,savelyev,-0.1216,-0.1216,False,False,3,3
Kyrgyz,many,køp,k ø p,521,savelyev,-2.1632,-2.1632,False,False,3,3
Turkmen,many,køp,k ø p,521,savelyev,0.0,0.0,False,False,3,3
Uyghur,many,køp,k ø p,521,savelyev,-0.1321,-0.1321,False,False,3,3
Uzbek,many,kop,k o p,521,savelyev,-2.1809,-2.1809,False,False,3,3
Azerbaijani,many,ʨoχ(lu),ʨ o χ,522,savelyev,-6.0,-6.0,False,False,3,3
Turkish,many,ʨok,tɕ o k,522,savelyev,-0.0462,-0.0462,False,False,3,3
Azerbaijani,flesh,ɛt,æ t,37,savelyev,-0.0687,-0.0687,False,False,2,2
Kazakh,flesh,et,e t,37,savelyev,-0.3613,-0.3613,False,False,2,2
Kyrgyz,flesh,et,e t,37,savelyev,-0.3195,-0.3195,False,False,2,2
Turkish,flesh,et,e t,37,savelyev,-0.3172,-0.3172,False,False,2,2
Turkmen,flesh,et,e t,37,savelyev,-0.1193,-0.1193,False,False,2,2
Yakut,flesh,et,e t,37,savelyev,-0.3311,-0.3311,False,True,2,2
Kazakh,not,sɘŋbɘrɘk,s ĭ ŋ b ĭ r ĭ k,148,savelyev,-0.9588,-0.9588,False,False,8,8
Kyrgyz,not,ʨimkirik,tɕ i m k i r i k,148,savelyev,-0.235,-0.235,False,False,8,8
Turkish,not,symyk,s y m y k,148,savelyev,-0.1099,-0.1099,False,False,5,5
Turkmen,not,symyk,s y m y k,148,savelyev,-0.1059,-0.1059,False,False,5,5
Yakut,not,sɯ:ŋk,s ɯː ŋ k,148,savelyev,-3.1035,-3.1035,False,False,4,4
Uyghur,not,maŋqa,m a ŋ q a,148,savelyev,-0.0314,-0.0314,False,False,5,5
Azerbaijani,not,fɯrtdɯɢ,f ɯ r t d ɯ ɢ,148,savelyev,-0.9016,-0.9016,False,False,7,7
Uzbek,not,miʃi(ri)q,m i ʃ i q,148,savelyev,-0.2566,-0.2566,False,False,5,5
Chuvash,not,mA,m a,148,savelyev,-0.1934,-0.1934,False,False,2,2
Azerbaijani,one,bir,b i r,80,savelyev,-0.1497,-0.1497,False,False,3,3
Chuvash,one,"pɘrre, pɘr",p ĭ r,80,savelyev,-0.0932,-0.0932,False,False,3,3
Kazakh,one,bɘr,b ĭ r,80,savelyev,-0.1598,-0.1598,False,False,3,3
Kyrgyz,one,bir,b i r,80,savelyev,-0.1602,-0.1602,False,False,3,3
Turkish,one,bir,b i r,80,savelyev,-0.1091,-0.1091,False,False,3,3
Turkmen,one,bir,b i r,80,savelyev,-0.1447,-0.1447,False,False,3,3
Uyghur,one,bir,b i r,80,savelyev,-0.0915,-0.0915,False,False,3,3
Uzbek,one,bir,b i r,80,savelyev,-0.1836,-0.1836,False,False,3,3
Yakut,one,bi:r,b iː r,80,savelyev,-0.0458,-0.0458,False,False,3,3
Kazakh,person,kɘsɘ,k ĭ s ĭ,770,savelyev,-0.2977,-0.2977,False,False,4,4
Kyrgyz,person,kiʃi,k i ʃ i,770,savelyev,-0.3592,-0.3592,False,False,4,4
Turkish,person,kiʃi,k i ʃ i,770,savelyev,-0.1271,-0.1271,False,False,4,4
Uyghur,person,kiʃi,k i ʃ i,770,savelyev,-0.2218,-0.2218,False,False,4,4
Uzbek,person,kiʃi,k i ʃ i,770,savelyev,-0.4074,-0.4074,False,False,4,4
