language,gloss,form,ipa_tokens,group,cogid_source,adjusted_score,central_score,cond1_anomalous,cond2_pass,loan_class,thin_lang_flag
Kazakh,walk,ʒʊɾəs,ʒ ʊ ɾ ə s,A_kipchak,northeuralex,-1.1526,-1.1526,True,True,unknown,False
Kazakh,thread,ʒəp,ʒ ə p,A_kipchak,northeuralex,-1.1509,-1.1509,True,True,unknown,False
Kazakh,string,ʒəp,ʒ ə p,A_kipchak,northeuralex,-1.1509,-1.1509,True,True,unknown,False
Kazakh,light,ʃʉʁəlɑ,ʃ ʉ ʁ ə l ɑ,A_kipchak,northeuralex,-1.1501,-1.1501,True,True,unknown,False
Kazakh,above,ʒoʁɑɾədɑ,ʒ o ʁ ɑ ɾ ə d ɑ,A_kipchak,northeuralex,-1.1497,-1.1497,True,True,unknown,False
Kazakh,worker,ʒʊməsʃə,ʒ ʊ m ə s ʃ ə,A_kipchak,northeuralex,-1.1423,-1.1423,True,True,unknown,False
Kazakh,warm,ʒələ,ʒ ə l ə,A_kipchak,northeuralex,-1.1415,-1.1415,True,True,unknown,False
Kazakh,elk,bʉʁə,b ʉ ʁ ə,A_kipchak,northeuralex,-1.1409,-1.1409,True,True,unknown,False
Kazakh,third,ʊʃənʃə,ʊ ʃ ə n ʃ ə,A_kipchak,northeuralex,-1.1403,-1.1403,True,True,unknown,False
Kazakh,nail,ʃeɡe,ʃ e g e,A_kipchak,northeuralex,-1.1389,-1.1389,True,True,unknown,False
Uzbek,empty,put͡ʃ,p u tʃ,A_kipchak,northeuralex,-1.1379,-1.1379,True,True,unknown,False
Kazakh,song,ʒəɾ,ʒ ə ɾ,A_kipchak,northeuralex,-1.1346,-1.1346,True,True,unknown,False
Kazakh,hungry,ɑʃ,ɑ ʃ,A_kipchak,northeuralex,-1.1336,-1.1336,True,True,unknown,False
Uzbek,that,o(ʃa),o,A_kipchak,savelyev,-1.133,-1.133,True,True,unknown,False
Kazakh,dense,ʒɪjə,ʒ ɪ j ə,A_kipchak,northeuralex,-1.1313,-1.1313,True,True,unknown,False
Kazakh,box,ʒæʃək,ʒ æ ʃ ə k,A_kipchak,northeuralex,-1.13,-1.13,True,True,unknown,False
Kazakh,strength,kʊʃ,k ʊ ʃ,A_kipchak,northeuralex,-1.1297,-1.1297,True,True,unknown,False
Uzbek,odour,d͡ʒid,dʒ i d,A_kipchak,northeuralex,-1.1274,-1.1274,True,True,unknown,False
Kazakh,fork,ɑʃɑ,ɑ ʃ ɑ,A_kipchak,northeuralex,-1.1262,-1.1262,True,True,unknown,False
Kazakh,grandmother,æʒe,æ ʒ e,A_kipchak,northeuralex,-1.1257,-1.1257,True,True,unknown,False
Kazakh,fir,ʃəɾʃɑ,ʃ ə ɾ ʃ ɑ,A_kipchak,northeuralex,-1.1252,-1.1252,True,True,unknown,False
Kazakh,thither,æɾə,æ ɾ ə,A_kipchak,northeuralex,-1.1249,-1.1249,True,True,unknown,False
Kazakh,memory,ʒɑdə,ʒ ɑ d ə,A_kipchak,northeuralex,-1.1238,-1.1238,True,True,unknown,False
Kazakh,all,? ʒɯɣɯl,ʒ ɯ ɣ ɯ l,A_kipchak,lexstat,-1.1195,-1.1195,True,True,mongolic_candidate,False
Kazakh,pointed,ʊʃkəɾ,ʊ ʃ k ə ɾ,A_kipchak,northeuralex,-1.1184,-1.1184,True,True,unknown,False
Kazakh,forward,əlɡeɾə,ə l g e ɾ ə,A_kipchak,northeuralex,-1.1151,-1.1151,True,True,unknown,False
Kazakh,east,kʊnʃəʁəs,k ʊ n ʃ ə ʁ ə s,A_kipchak,northeuralex,-1.1144,-1.1144,True,True,unknown,False
Kazakh,height,ʒoʁɑɾələq,ʒ o ʁ ɑ ɾ ə l ə q,A_kipchak,northeuralex,-1.1131,-1.1131,True,True,unknown,False
Kazakh,often,əlʁɪj,ə l ʁ ɪ j,A_kipchak,northeuralex,-1.1098,-1.1098,True,True,unknown,False
Kazakh,dishes,ədəs,ə d ə s,A_kipchak,northeuralex,-1.1078,-1.1078,True,True,unknown,False
Kazakh,run,ʒʊɡəɾu,ʒ ʊ g ə ɾ u,A_kipchak,northeuralex,-1.1061,-1.1061,True,True,unknown,False
Uzbek,all,jiqil,j i q i l,A_kipchak,lexstat,-1.1056,-1.1056,True,True,unknown,False
Kazakh,far,ɑləstɑʁə,ɑ l ə s t ɑ ʁ ə,A_kipchak,northeuralex,-1.1046,-1.1046,True,True,unknown,False
Kazakh,because of,ʊʃən,ʊ ʃ ə n,A_kipchak,northeuralex,-1.1033,-1.1033,True,True,unknown,False
Uzbek,leaf,barɡ,b a r g,A_kipchak,lexstat,-1.1017,-1.1017,True,True,unknown,False
Kazakh,blunt,doʁɑl,d o ʁ ɑ l,A_kipchak,northeuralex,-1.1005,-1.1005,True,True,unknown,False
Kazakh,year,ʒəl,ʒ ə l,A_kipchak,northeuralex,-1.0978,-1.0978,True,True,unknown,False
Kazakh,current,ɑʁən,ɑ ʁ ə n,A_kipchak,northeuralex,-1.0974,-1.0974,True,True,unknown,False
Uzbek,tip,ut͡ʃ,u tʃ,A_kipchak,northeuralex,-1.0962,-1.0962,True,True,unknown,False
Uzbek,three,ut͡ʃ,u tʃ,A_kipchak,northeuralex,-1.0962,-1.0962,True,True,unknown,False
